,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
411,Iraq,Middle East & North Africa,Baghdad,44.460652,33.389934000000004,Bombing/Explosion,19.0,36.0,5-20-2006,55.0
412,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,4.0,57.0,6-2-2006,61.0
413,Iraq,Middle East & North Africa,Baghdad,44.423196999999995,33.298668,Bombing/Explosion,6.0,59.0,6-11-2006,65.0
414,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,15.0,42.0,6-30-2006,57.0
415,Iraq,Middle East & North Africa,Baghdad,44.460568,33.38969,Bombing/Explosion,77.0,96.0,7-1-2006,173.0
416,Iraq,Middle East & North Africa,Kufa,44.399648,32.032916,Bombing/Explosion,14.0,38.0,7-6-2006,52.0
417,Iraq,Middle East & North Africa,Tal Al-Banat,42.451435,36.374029,Bombing/Explosion,9.0,59.0,7-7-2006,68.0
418,Iraq,Middle East & North Africa,Mahmudiyah,44.362041,33.053656,Armed Assault,56.0,67.0,7-17-2006,123.0
419,Iraq,Middle East & North Africa,Kufa,44.399648,32.032916,Bombing/Explosion,59.0,132.0,7-18-2006,191.0
420,Iraq,Middle East & North Africa,Baghdad,44.440719,33.374136,Bombing/Explosion,34.0,73.0,7-23-2006,107.0
421,Iraq,Middle East & North Africa,Baghdad,44.423196999999995,33.298668,Bombing/Explosion,31.0,150.0,7-27-2006,181.0
422,Iraq,Middle East & North Africa,Baiji,43.493025,34.929159000000006,Bombing/Explosion,23.0,40.0,8-1-2006,63.0
423,Iraq,Middle East & North Africa,Baghdad,44.423196999999995,33.298668,Bombing/Explosion,15.0,37.0,8-1-2006,52.0
424,Iraq,Middle East & North Africa,Baghdad,44.334495000000004,33.261663,Bombing/Explosion,10.0,69.0,8-8-2006,79.0
425,Iraq,Middle East & North Africa,Najaf,44.330818,32.000596,Bombing/Explosion,35.0,122.0,8-10-2006,157.0
426,Afghanistan,South Asia,Lashkar Gah,64.369167,31.583056,Bombing/Explosion,17.0,50.0,8-28-2006,67.0
427,Iraq,Middle East & North Africa,Baghdad,44.429096,33.333448,Bombing/Explosion,13.0,42.0,8-28-2006,55.0
428,Afghanistan,South Asia,Lashkar Gah,64.369167,31.583056,Bombing/Explosion,17.0,45.0,8-28-2006,62.0
429,Iraq,Middle East & North Africa,Baghdad,44.481875,33.32855,Bombing/Explosion,26.0,80.0,8-31-2006,106.0
430,Iraq,Middle East & North Africa,Baghdad,44.430587,33.348329,Bombing/Explosion,26.0,80.0,8-31-2006,106.0
431,Iraq,Middle East & North Africa,Baghdad,44.451217,33.322081,Bombing/Explosion,22.0,34.0,9-13-2006,56.0
432,Iraq,Middle East & North Africa,Baghdad,44.432341,33.411707,Bombing/Explosion,14.0,67.0,9-13-2006,81.0
433,Thailand,Southeast Asia,Hat Yai,100.471242,7.0139830000000005,Bombing/Explosion,4.0,59.0,9-16-2006,63.0
434,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,27.0,73.0,9-17-2006,100.0
435,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,31.0,40.0,9-23-2006,71.0
436,Afghanistan,South Asia,Kabul,69.166111,34.533056,Bombing/Explosion,13.0,50.0,9-30-2006,63.0
437,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,16.0,87.0,10-4-2006,103.0
438,Iraq,Middle East & North Africa,Khalis,44.519490999999995,33.851043,Bombing/Explosion,17.0,37.0,10-19-2006,54.0
439,Iraq,Middle East & North Africa,Amarah,47.150821,31.837565,Armed Assault,9.0,59.0,10-19-2006,68.0
440,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,12.0,68.0,10-19-2006,80.0
441,Iraq,Middle East & North Africa,Mahmudiyah,44.37146,33.055377,Bombing/Explosion,32.0,53.0,10-22-2006,85.0
442,Iraq,Middle East & North Africa,Mahmudiyah,44.37146,33.055377,Bombing/Explosion,16.0,60.0,10-22-2006,76.0
443,Iraq,Middle East & North Africa,Baqubah,44.633333,33.75,Armed Assault,42.0,15.0,10-26-2006,57.0
444,Iraq,Middle East & North Africa,Baghdad,44.460652,33.389934000000004,Bombing/Explosion,33.0,59.0,10-30-2006,92.0
445,Iraq,Middle East & North Africa,Baghdad,44.460652,33.389934000000004,Bombing/Explosion,7.0,45.0,11-2-2006,52.0
446,Iraq,Middle East & North Africa,Baghdad,44.460652,33.389934000000004,Bombing/Explosion,5.0,53.0,11-3-2006,58.0
447,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,16.0,52.0,11-9-2006,68.0
448,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,35.0,56.0,11-12-2006,91.0
449,Iraq,Middle East & North Africa,Hillah,44.433243,32.483866,Bombing/Explosion,22.0,44.0,11-19-2006,66.0
450,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,10.0,45.0,11-19-2006,55.0
451,Iraq,Middle East & North Africa,Baghdad,44.460652,33.389969,Bombing/Explosion,202.0,257.0,11-23-2006,459.0
452,Iraq,Middle East & North Africa,Tal Afar,42.451435,36.374029,Bombing/Explosion,23.0,43.0,11-24-2006,66.0
453,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,48.0,87.0,12-3-2006,135.0
